City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,la'ie,21.6477,-157.9253,25.98,59,50,3.13,US,1708484884
84,afaahiti,-17.75,-149.2833,29.48,79,75,2.97,PF,1708484884
85,laguna,38.421,-121.4238,11.33,92,100,2.57,US,1708484885
86,broken hill,-31.95,141.4333,35.21,16,33,5.75,AU,1708484886
87,zheleznogorsk,52.331,35.3711,-4.24,95,100,6.52,RU,1708484886
88,comodoro rivadavia,-45.8667,-67.5,15.92,88,20,3.09,AR,1708484601
89,chegdomyn,51.1167,133.0167,-19.74,77,95,2.06,RU,1708484887
90,kiunga,-6.1219,141.2906,25.68,91,100,0.07,PG,1708484888
91,znamenskoye,57.1281,73.8282,-28.64,94,95,2.12,RU,1708484888
92,carutapera,-1.195,-46.02,24.81,85,97,2.41,BR,1708484889
93,nemuro,43.3236,145.575,-4.91,57,95,1.76,JP,1708484889
94,prince albert,53.2001,-105.7677,-8.03,73,75,3.6,CA,1708484699
95,mayya,61.7333,130.2811,-30.94,86,100,3.37,RU,1708484890
96,aripuana,-9.1667,-60.6333,23.23,89,84,0.42,BR,1708484685
97,puerto ayora,-0.7393,-90.3518,26.42,96,100,2.59,EC,1708484891
98,lihue,21.9789,-159.3672,23.77,56,0,3.6,US,1708484892
99,kongolo,-5.3833,27.0,21.68,96,100,1.38,CD,1708484892
100,rexburg,43.826,-111.7897,2.73,75,0,2.57,US,1708484893
101,le vauclin,14.5452,-60.8388,24.03,83,20,2.06,MQ,1708484894
102,hawaiian paradise park,19.5933,-154.9731,23.91,71,20,4.12,US,1708484894
103,utrik,11.2278,169.8474,26.68,81,75,7.87,MH,1708484895
104,tromso,69.6496,18.957,-4.99,86,100,1.54,NO,1708484895
105,vilyuchinsk,52.9306,158.4028,-7.85,71,50,21.17,RU,1708484896
106,auki,-8.7676,160.7034,26.42,90,100,1.89,SB,1708484897
107,mao,39.8885,4.2658,10.31,93,0,2.57,ES,1708484898
108,puerto natales,-51.7236,-72.4875,7.32,90,8,0.37,CL,1708484899
109,porto novo,6.4965,2.6036,27.44,84,9,2.22,BJ,1708484899
110,aden,12.7794,45.0367,25.14,73,61,4.67,YE,1708484652
